井名	深度	GR	SP	SH	SS	RT	RT.1	PERM2024	PERM	POR2024	POR	SW	SW2024	AC	DEN	CAL	CNL	RT.2	解释结论	层位
耿219	2430.375	132.005	86.227	84.552	15.448	14.209	15.991	0.0	0.01	0.0	0.1	99.9	0.0	239.226	2.644	23.106	32.126	14.209		长4+5!1^(1_2)
耿219	2430.500	127.492	86.306	76.635	23.365	14.203	15.679	0.0	0.01	0.0	0.1	99.9	0.0	239.401	2.624	23.021	31.352	14.203		长4+5!1^(1_2)
耿219	2430.625	128.142	86.354	77.741	22.259	14.425	15.318	0.0	0.01	0.0	0.1	99.9	0.0	240.519	2.594	22.985	31.211	14.425		长4+5!1^(1_2)
耿219	2430.750	128.843	86.375	78.947	21.053	14.727	15.253	0.0	0.01	0.0	0.1	99.9	0.0	243.677	2.573	22.962	32.151	14.727		长4+5!1^(1_2)
耿219	2430.875	130.228	86.334	81.368	18.632	15.029	15.395	0.0	0.01	0.0	0.1	99.9	0.0	250.875	2.56	22.947	35.203	15.029		长4+5!1^(1_2)
耿219	2431.000	132.569	86.224	85.579	14.421	15.377	15.573	0.0	0.01	0.0	0.1	99.9	0.0	270.269	2.562	22.94	51.436	15.377		长4+5!1^(1_2)
耿219	2431.125	131.76	86.044	84.107	15.893	15.879	15.83	0.0	0.01	0.0	0.1	99.9	0.0	281.186	2.579	22.934	62.931	15.879		长4+5!1^(1_2)
耿219	2431.250	130.34	85.69	81.565	18.435	16.252	16.029	0.0	0.01	0.0	0.1	99.9	0.0	289.03	2.598	22.923	64.814	16.252		长4+5!1^(1_2)
耿219	2431.375	129.04	85.091	79.289	20.711	16.409	16.15	0.0	0.01	0.0	0.1	99.9	0.0	290.879	2.616	22.895	57.504	16.409		长4+5!1^(1_2)
耿219	2431.500	125.764	84.46	73.747	26.253	16.47	16.296	0.0	0.01	0.0	0.1	99.9	0.0	278.202	2.63	22.861	41.03	16.47		长4+5!1^(1_2)
耿219	2431.625	120.61	83.898	65.575	34.425	16.452	16.531	0.0	0.01	0.0	0.1	99.9	0.0	265.874	2.64	22.844	33.393	16.452		长4+5!1^(1_2)
耿219	2431.750	115.727	83.194	58.407	41.593	16.491	16.602	0.0	0.01	0.0	0.1	99.9	0.0	253.406	2.645	22.836	29.555	16.491		长4+5!1^(1_2)
耿219	2431.875	110.754	82.292	51.643	48.357	16.766	16.412	0.0	0.01	0.0	0.1	99.9	0.0	243.032	2.649	22.85	27.255	16.766		长4+5!1^(1_2)
耿219	2432.000	104.548	81.519	43.895	56.105	17.45	16.126	0.0	0.01	0.0	0.1	99.9	0.0	232.948	2.645	22.883	26.324	17.45		长4+5!1^(1_2)
耿219	2432.125	102.256	81.008	41.216	58.784	19.697	15.921	0.0	0.01	0.0	0.1	99.9	0.0	232.306	2.621	22.92	26.938	19.697		长4+5!1^(1_2)
耿219	2432.250	101.475	80.505	40.325	59.675	22.099	16.028	0.0	0.01	0.0	0.1	99.9	0.0	233.273	2.569	22.967	28.209	22.099		长4+5!1^(1_2)
耿219	2432.375	102.367	79.948	41.344	58.656	23.492	16.429	0.0	0.01	0.0	0.1	99.9	0.0	234.829	2.481	23.06	29.501	23.492		长4+5!1^(1_2)
耿219	2432.500	109.131	79.478	49.544	50.456	24.342	16.946	0.0	0.01	0.0	0.1	99.9	0.0	236.405	2.302	23.191	30.396	24.342		长4+5!1^(1_2)
耿219	2432.625	113.854	79.159	55.798	44.202	22.687	17.237	0.0	0.01	0.0	0.1	99.9	0.0	235.264	2.059	23.305	30.128	22.687		长4+5!1^(1_2)
耿219	2432.750	116.185	78.875	59.057	40.943	19.354	16.483	0.0	0.01	0.0	0.1	99.9	0.0	232.636	1.907	23.442	29.284	19.354		长4+5!1^(1_2)
耿219	2432.875	117.355	78.601	60.738	39.262	16.537	14.2	0.0	0.01	0.0	0.1	99.9	0.0	229.013	1.835	23.69	28.329	16.537		长4+5!1^(1_2)
耿219	2433.000	118.777	78.36	62.821	37.179	14.313	11.157	0.0	0.01	0.0	0.1	99.9	0.0	223.556	1.809	24.03	27.461	14.313		长4+5!1^(1_2)
耿219	2433.125	117.962	78.136	61.622	38.378	12.14	8.291	0.0	0.01	0.0	0.1	99.9	0.0	224.913	1.819	24.309	28.14	12.14		长4+5!1^(1_2)
耿219	2433.250	117.429	77.823	60.845	39.155	10.589	6.87	0.0	0.01	0.0	0.1	99.9	0.0	231.974	1.842	24.644	31.284	10.589		长4+5!1^(1_2)
耿219	2433.375	117.541	77.421	61.007	38.993	9.988	6.793	0.0	0.01	0.0	0.1	99.9	0.0	245.955	1.867	25.207	38.865	9.988		长4+5!1^(1_2)
