井名	深度	GR	SP	SH	AT90	AC	PERM	POR	SW	CNL	DEN	RT	解释结论	层位
涧39	2280.500	101.901	63.872	56.118	6.978	254.857	0.01	0.1	99.9	32.485	2.416	6.97		chang4+5
涧39	2280.625	99.566	63.709	53.053	7.158	239.09	0.01	0.1	99.9	31.451	2.483	7.117		chang4+5
涧39	2280.750	95.929	63.483	48.127	7.997	223.473	0.01	0.1	99.9	28.329	2.544	7.898		chang4+5
涧39	2280.875	92.687	63.214	45.121	9.935	211.602	0.01	0.1	99.9	24.459	2.591	9.773		chang4+5
涧39	2281.000	93.961	62.904	48.906	12.931	207.985	0.01	0.1	99.9	22.094	2.62	12.844		chang4+5
涧39	2281.125	98.608	62.548	55.19	14.399	214.893	0.01	0.1	99.9	22.57	2.632	14.484		chang4+5
涧39	2281.250	101.66	62.114	57.487	12.763	230.112	0.01	0.1	99.9	24.641	2.631	12.879		chang4+5
涧39	2281.375	98.985	61.593	51.305	10.639	245.069	0.01	0.1	99.9	26.143	2.626	10.685		chang4+5
涧39	2281.500	92.098	60.979	42.58	9.853	253.583	0.01	0.1	99.9	25.803	2.62	9.829		chang4+5
涧39	2281.625	87.741	60.293	39.998	10.344	252.933	0.01	0.1	99.9	24.149	2.617	10.282		chang4+5
涧39	2281.750	88.292	59.575	42.242	11.51	244.965	0.01	0.1	99.9	22.683	2.618	11.452		chang4+5
涧39	2281.875	90.771	58.848	45.061	12.601	236.761	0.01	0.1	99.9	22.015	2.623	12.55		chang4+5
涧39	2282.000	89.694	58.144	20.434	13.584	231.588	0.01	5.169	99.9	21.801	2.628	13.517	干层	chang4+5
涧39	2282.125	86.084	57.488	18.75	14.907	228.274	0.01	4.93	99.9	21.37	2.634	14.79	干层	chang4+5
涧39	2282.250	82.436	56.913	17.279	17.175	223.586	0.01	4.733	99.9	20.297	2.638	17.004	干层	chang4+5
涧39	2282.375	80.749	56.409	16.986	20.369	218.746	0.01	4.646	99.9	18.814	2.639	20.245	干层	chang4+5
涧39	2282.500	83.358	55.958	18.815	22.571	217.853	0.01	4.667	99.9	17.878	2.639	22.603	干层	chang4+5
涧39	2282.625	86.975	55.529	20.198	21.865	222.576	0.01	4.745	99.9	18.779	2.637	21.986	干层	chang4+5
涧39	2282.750	88.296	55.114	20.335	19.574	228.981	0.01	4.822	99.9	21.16	2.635	19.676	干层	chang4+5
涧39	2282.875	87.753	54.742	19.9	17.673	231.22	0.01	4.915	99.9	23.33	2.633	17.734	干层	chang4+5
涧39	2283.000	85.974	54.439	18.956	16.552	228.4	0.01	5.047	99.9	23.931	2.63	16.581	干层	chang4+5
涧39	2283.125	83.142	54.237	17.621	16.036	223.408	0.01	5.109	99.9	23.014	2.629	16.035	干层	chang4+5
