井名	深度	GR	SP	SH	AT90	AC	PERM	POR	SW	DEN	RT	解释结论	层位
地308-61	2344.750	86.441	65.359	32.167	35.039	231.402	0.010	0.100	99.900	2.551	31.448	干层	chang4+5
地308-61	2344.875	92.501	65.589	40.640	26.714	233.866	0.010	0.100	99.900	2.575	24.058	干层	chang4+5
地308-61	2345.000	105.954	65.903	55.665	21.690	235.909	0.010	0.100	99.900	2.605	20.362	干层	chang4+5
地308-61	2345.125	117.594	66.307	66.540	19.310	237.358	0.010	0.100	99.900	2.630	18.719	干层	chang4+5
地308-61	2345.250	119.004	66.823	62.803	18.174	238.392	0.010	0.100	99.900	2.645	17.868	干层	chang4+5
地308-61	2345.375	117.447	67.447	62.048	17.374	239.535	0.010	0.100	99.900	2.652	17.098	干层	chang4+5
地308-61	2345.500	118.289	68.143	64.000	16.591	241.398	0.010	0.100	99.900	2.653	16.306	干层	chang4+5
地308-61	2345.625	120.483	68.856	66.956	15.761	244.120	0.010	0.100	99.900	2.650	15.455	干层	chang4+5
地308-61	2345.750	122.697	69.530	69.482	14.785	247.296	0.010	0.100	99.900	2.645	14.409	干层	chang4+5
地308-61	2345.875	124.759	70.145	72.068	13.704	250.580	0.010	0.100	99.900	2.642	13.308	干层	chang6
地308-61	2346.000	125.755	70.703	72.577	12.805	254.107	0.010	0.100	99.900	2.638	12.522	干层	chang6
地308-61	2346.125	127.664	71.204	76.155	12.221	258.442	0.010	0.100	99.900	2.631	12.052	干层	chang6
地308-61	2346.250	129.844	71.634	78.633	11.507	264.166	0.010	0.100	99.900	2.613	11.202	干层	chang6
地308-61	2346.375	130.503	71.983	78.615	10.309	270.474	0.010	0.100	99.900	2.586	9.809	干层	chang6
地308-61	2346.500	131.186	72.257	80.073	9.148	275.661	0.010	0.100	99.900	2.561	8.778	干层	chang6
地308-61	2346.625	130.371	72.473	77.540	8.830	278.700	0.010	0.100	99.900	2.551	8.859	干层	chang6
地308-61	2346.750	129.045	72.651	76.187	9.761	279.593	0.010	0.100	99.900	2.562	10.267	干层	chang6
地308-61	2346.875	128.118	72.796	75.036	11.540	279.110	0.010	0.100	99.900	2.575	12.254	干层	chang6
地308-61	2347.000	126.190	72.905	71.796	12.524	278.241	0.010	0.100	99.900	2.575	12.675	干层	chang6
地308-61	2347.125	125.039	72.972	71.311	11.822	278.181	0.010	0.100	99.900	2.559	11.343		chang6
地308-61	2347.250	126.328	72.982	74.158	10.290	280.001	0.010	0.100	99.900	2.534	9.700		chang6
地308-61	2347.375	127.023	72.948	73.947	8.919	283.279	0.010	0.100	99.900	2.508	8.481		chang6
地308-61	2347.500	127.971	72.893	75.996	7.945	286.753	0.010	0.100	99.900	2.489	7.645		chang6
地308-61	2347.625	129.921	72.796	78.886	7.267	289.403	0.010	0.100	99.900	2.483	7.056		chang6
地308-61	2347.750	132.638	72.615	83.056	6.852	290.729	0.010	0.100	99.900	2.498	6.738		chang6
地308-61	2347.875	131.824	72.347	78.965	6.708	290.803	0.010	0.100	99.900	2.526	6.691	干层	chang6
地308-61	2348.000	127.126	72.002	71.548	6.819	289.580	0.010	0.100	99.900	2.558	6.890	干层	chang6
地308-61	2348.125	123.257	71.591	67.994	7.113	287.098	0.010	0.100	99.900	2.584	7.237	干层	chang6
地308-61	2348.250	123.336	71.126	70.127	7.562	283.899	0.010	0.100	99.900	2.600	7.745	干层	chang6
地308-61	2348.375	126.809	70.606	75.830	8.238	280.342	0.010	0.100	99.900	2.607	8.514	干层	chang6
地308-61	2348.500	131.634	70.012	82.661	9.329	276.055	0.010	0.100	99.900	2.606	9.786	干层	chang6
地308-61	2348.625	132.998	69.361	81.693	11.028	270.837	0.010	0.100	99.900	2.602	11.725	干层	chang6
地308-61	2348.750	129.682	68.680	75.245	13.318	265.943	0.010	0.100	99.900	2.597	14.212	干层	chang6
地308-61	2348.875	126.390	67.986	72.080	15.291	263.221	0.010	0.100	99.900	2.591	15.896	干层	chang6
地308-61	2349.000	126.174	67.287	73.408	15.358	263.281	0.010	0.100	99.900	2.583	15.056	干层	chang6
地308-61	2349.125	128.708	66.584	77.837	13.582	264.952	0.010	0.100	99.900	2.579	12.755	干层	chang6
地308-61	2349.250	128.879	65.870	75.681	11.747	266.110	0.010	0.100	99.900	2.585	11.182	干层	chang6
地308-61	2349.375	127.269	65.141	73.596	10.846	265.723	0.010	0.100	99.900	2.598	10.658	干层	chang6
地308-61	2349.500	125.908	64.396	72.029	10.660	264.151	0.010	0.100	99.900	2.613	10.661	干层	chang6
地308-61	2349.625	126.557	63.639	74.209	10.705	262.206	0.010	0.100	99.900	2.622	10.729	干层	chang6
地308-61	2349.750	128.893	62.869	77.759	11.007	260.380	0.010	0.100	99.900	2.622	11.163	干层	chang6
地308-61	2349.875	130.043	62.081	78.138	11.984	258.234	0.010	0.100	99.900	2.618	12.445	干层	chang6
地308-61	2350.000	127.691	61.277	73.110	13.999	254.870	0.010	0.100	99.900	2.616	14.870	干层	chang6
地308-61	2350.125	120.143	60.462	61.438	16.646	249.874	0.010	0.100	99.900	2.619	17.641	干层	chang6
地308-61	2350.250	110.771	59.652	51.465	18.662	243.964	0.010	0.100	99.900	2.624	19.234	干层	chang6
地308-61	2350.375	103.597	58.861	24.861	19.008	238.762	0.960	12.831	71.032	2.625	18.880	干层	chang6
地308-61	2350.500	100.952	58.094	24.232	18.125	235.331	0.843	12.456	75.215	2.621	17.702	干层	chang6
地308-61	2350.625	100.883	57.349	24.198	17.378	233.350	0.780	12.239	77.453	2.614	17.196	干层	chang6
地308-61	2350.750	99.966	56.619	23.263	17.659	231.352	0.697	11.931	77.528	2.611	17.919	干层	chang6
地308-61	2350.875	96.331	55.894	20.911	18.744	228.219	0.577	11.429	77.648	2.609	19.207	干层	chang6
地308-61	2351.000	91.597	55.162	18.624	19.920	223.947	0.448	10.790	79.247	2.605	20.320	干层	chang6
地308-61	2248.125--2351.000(平均)	105.496	62.272	47.953	22.627	238.336	0.172	3.293	85.635	2.577	22.628		
地308-61	2248.125--2351.000(最大)	196.270	73.382	99.900	104.348	306.464	2.468	13.701	99.900	2.676	105.097		
地308-61	2248.125--2351.000(最小)	58.858	35.399	7.237	5.949	189.857	0.010	0.100	33.616	2.298	5.899		
