井名	深度	GR	SP	SH	RT	AC	PERM	POR	SW	CNL	DEN	RT.1	解释结论	层位
地199-48	2305.750	108.194	1.904	53.086	11.828	262.369	0.01	0.1	99.9	19.832	2.641	11.927		chang4+5
地199-48	2305.875	113.334	2.077	61.344	11.115	259.567	0.01	0.1	99.9	19.997	2.65	11.207		chang4+5
地199-48	2306.000	126.456	2.207	80.809	10.512	257.206	0.01	0.1	99.9	21.405	2.63	10.533		chang4+5
地199-48	2306.125	138.913	2.271	99.9	10.448	255.607	0.01	0.1	99.9	22.45	2.609	10.382	干层	chang4+5
地199-48	2306.250	138.843	2.253	97.237	10.99	255.149	0.01	0.1	99.9	22.811	2.588	10.864	干层	chang4+5
地199-48	2306.375	123.887	2.173	71.807	11.911	255.088	0.01	0.1	99.9	22.276	2.572	11.788	干层	chang4+5
地199-48	2306.500	107.294	2.072	50.812	12.77	254.078	0.01	0.1	99.9	20.433	2.571	12.689	干层	chang4+5
地199-48	2306.625	98.817	1.986	43.792	13.315	251.184	0.01	0.1	99.9	18.282	2.583	13.279	干层	chang4+5
地199-48	2306.750	100.934	1.937	46.836	13.563	246.847	0.01	0.1	99.9	17.445	2.6	13.54	干层	chang4+5
地199-48	2306.875	103.451	1.941	49.232	13.742	241.824	0.01	0.1	99.9	17.737	2.612	13.709	干层	chang4+5
地199-48	2307.000	102.324	2.006	47.069	14.018	237.248	0.01	0.1	99.9	17.822	2.617	13.954	干层	chang4+5
地199-48	2307.125	98.236	2.133	43.232	14.513	233.813	0.01	0.1	99.9	16.921	2.616	14.426	干层	chang4+5
地199-48	2307.250	95.398	2.308	40.126	15.151	231.342	0.01	0.1	99.9	15.546	2.613	15.063	干层	chang4+5
地199-48	2307.375	93.629	2.506	38.496	15.761	229.266	0.01	0.1	99.9	13.981	2.609	15.709	干层	chang4+5
地199-48	2307.500	93.527	2.713	38.754	16.085	227.619	0.01	0.1	99.9	12.724	2.613	16.093	干层	chang4+5
地199-48	2307.625	98.602	2.947	44.446	15.954	227.847	0.01	0.1	99.9	12.645	2.623	16.032	干层	chang4+5
地199-48	2307.750	108.127	3.226	55.136	15.33	231.888	0.01	0.1	99.9	15.122	2.633	15.461	干层	chang4+5
地199-48	2307.875	122.303	3.55	74.595	14.364	239.532	0.01	0.1	99.9	20.087	2.606	14.507	干层	chang4+5
地199-48	2308.000	138.622	3.897	99.9	13.358	250.774	0.01	0.1	99.9	27.379	2.519	13.46	干层	chang4+5
地199-48	2308.125	151.402	4.247	99.9	12.689	264.024	0.01	0.1	99.9	35.368	2.39	12.715	干层	chang4+5
地199-48	2308.250	158.386	4.594	99.9	12.563	277.829	0.01	0.1	99.9	39.658	2.27	12.525	干层	chang4+5
地199-48	2308.375	158.158	4.935	99.9	12.9	288.698	0.01	0.1	99.9	39.724	2.219	12.805	干层	chang4+5
地199-48	2308.500	147.573	5.266	99.9	13.618	293.993	0.01	0.1	99.9	36.251	2.274	13.504	干层	chang4+5
地199-48	2308.625	132.319	5.586	84.947	14.445	292.234	0.01	0.1	99.9	30.193	2.393	14.337	干层	chang4+5
地199-48	2308.750	118.811	5.89	65.653	15.236	284.909	0.01	0.1	99.9	24.49	2.515	15.129	干层	chang4+5
地199-48	2308.875	106.835	6.179	51.357	16.014	274.106	0.01	0.1	99.9	20.255	2.594	15.908		chang4+5
地199-48	2309.000	97.981	6.459	42.246	16.759	261.324	0.01	0.1	99.9	16.543	2.646	16.684		chang4+5
地199-48	2309.125	95.284	6.73	40.312	17.226	248.473	0.01	0.1	99.9	13.997	2.66	17.235		chang4+5
地199-48	2309.250	95.706	6.985	40.67	17.091	238.24	0.01	0.1	99.9	12.779	2.649	17.173		chang4+5
地199-48	2309.375	101.098	7.227	46.481	16.458	231.613	0.01	0.1	99.9	12.429	2.638	16.573		chang4+5
地199-48	2309.500	110.602	7.476	58.525	15.635	228.656	0.01	0.1	99.9	13.366	2.64	15.726		chang4+5
地199-48	2309.625	118.725	7.744	69.16	15.019	228.114	0.01	0.1	99.9	15.304	2.646	15.062		chang4+5
地199-48	2309.750	120.004	8.021	68.806	14.738	228.941	0.01	0.1	99.9	17.443	2.657	14.745		chang4+5
地199-48	2309.875	117.113	8.28	64.868	14.693	230.256	0.01	0.1	99.9	18.59	2.669	14.693		chang4+5
地199-48	2310.000	116.129	8.5	64.276	14.687	231.598	0.01	0.1	99.9	18.991	2.68	14.695		chang4+5
地199-48	2310.125	113.94	8.672	60.798	14.615	232.66	0.01	0.1	99.9	18.864	2.687	14.633		chang4+5
地199-48	2310.250	114.247	8.807	61.378	14.483	233.237	0.01	0.1	99.9	18.525	2.68	14.499		chang4+5
地199-48	2310.375	121.325	8.911	72.823	14.371	233.345	0.01	0.1	99.9	18.52	2.667	14.382		chang4+5
地199-48	2310.500	127.105	8.997	79.558	14.293	233.335	0.01	0.1	99.9	18.67	2.661	14.304		chang4+5
地199-48	2310.625	124.543	9.07	74.789	14.207	233.476	0.01	0.1	99.9	18.637	2.662	14.222		chang4+5
地199-48	2310.750	119.342	9.132	67.301	14.09	233.902	0.01	0.1	99.9	18.393	2.666	14.114		chang4+5
地199-48	2310.875	115.418	9.188	62.685	13.892	234.491	0.01	0.1	99.9	18.164	2.669	13.938		chang4+5
地199-48	2311.000	113.615	9.229	60.254	13.539	235.091	0.01	0.1	99.9	17.838	2.669	13.607		chang4+5
地199-48	2311.125	114.79	9.241	62.655	13.018	235.803	0.01	0.1	99.9	17.726	2.673	13.11		chang4+5
地199-48	2311.250	119.231	9.211	68.795	12.326	237.346	0.01	0.1	99.9	18.362	2.679	12.436		chang4+5
地199-48	2311.375	126.021	9.139	78.622	11.528	241.509	0.01	0.1	99.9	19.821	2.678	11.633		chang4+5
地199-48	2311.500	132.534	9.034	89.141	10.784	249.928	0.01	0.1	99.9	21.959	2.669	10.867		chang4+5
地199-48	2311.625	138.639	8.908	98.523	10.217	260.057	0.01	0.1	99.9	24.083	2.647	10.256		chang4+5
地199-48	2311.750	140.939	8.771	99.9	9.994	269.992	0.01	0.1	99.9	26.007	2.609	9.973		chang4+5
地199-48	2311.875	137.41	8.635	94.664	10.174	277.844	0.01	0.1	99.9	28.362	2.565	10.125		chang4+5
地199-48	2312.000	131.921	8.508	85.29	10.51	281.916	0.01	0.1	99.9	28.942	2.543	10.484		chang4+5
地199-48	2312.125	129.116	8.395	82.164	10.659	282.482	0.01	0.1	99.9	26.411	2.562	10.673		chang4+5
地199-48	2312.250	130.211	8.283	83.92	10.516	279.775	0.01	0.1	99.9	23.463	2.607	10.568		chang4+5
地199-48	2312.375	131.366	8.154	86.523	10.133	274.705	0.01	0.1	99.9	22.299	2.637	10.188		chang4+5
地199-48	2312.500	125.95	7.994	76.902	9.765	269.429	0.01	0.1	99.9	22.441	2.646	9.786		chang4+5
地199-48	2312.625	116.808	7.804	62.977	9.676	264.963	0.01	0.1	99.9	23.291	2.636	9.631		chang4+5
地199-48	2312.750	109.467	7.601	54.803	10.067	262.299	0.01	0.1	99.9	24.12	2.628	9.962		chang4+5
