井名	深度	GR	SP	RT	AC	CNL	DEN	RT.1	RT.2	RT.3	RT.4	RT.5	RT.6	RT.7	RT.8	RT.9	解释结论	层位
苏257	2246.375	99.956	68.445	15.027	224.792	22.62	2.598	12.866	13.325	15.358	14.601	14.846	13.811	12.692	21.468	17.87		chang4+5
苏257	2246.500	99.272	68.128	15.304	226.612	23.379	2.589	12.846	13.498	15.204	14.882	15.119	14.038	12.832	21.062	17.564		chang4+5
苏257	2246.625	100.01	67.808	15.322	228.74	24.507	2.58	12.803	13.518	14.916	14.93	15.138	14.091	12.86	20.531	17.161		chang4+5
苏257	2246.750	105.425	67.539	15.149	231.254	25.321	2.568	12.722	13.449	14.496	14.809	14.971	14.032	12.838	20.009	16.869		chang4+5
苏257	2246.875	112.055	67.37	14.833	234.619	26.126	2.551	12.591	13.321	13.977	14.563	14.665	13.895	12.787	19.298	16.457		chang4+5
苏257	2247.000	113.725	67.337	14.4	238.975	25.45	2.541	12.411	13.131	13.4	14.206	14.242	13.679	12.697	18.258	15.777		chang4+5
苏257	2247.125	114.352	67.414	13.874	244.073	25.34	2.542	12.116	12.878	12.729	13.756	13.725	13.387	12.557	16.845	14.749		chang4+5
苏257	2247.250	122.338	67.562	13.277	248.903	26.807	2.553	11.629	12.558	11.922	13.227	13.139	13.017	12.352	15.28	13.437		chang4+5
苏257	2247.375	132.967	67.732	12.58	252.271	27.767	2.569	10.992	12.119	11.053	12.582	12.454	12.52	12.021	13.881	12.167		chang4+5
苏257	2247.500	138.442	67.872	11.766	252.826	28.271	2.587	10.429	11.52	10.369	11.798	11.655	11.858	11.509	12.956	11.285		chang4+5
苏257	2247.625	136.011	67.945	10.945	250.431	27.424	2.601	10.1	10.85	9.999	10.984	10.848	11.127	10.897	12.669	11.014		chang4+5
苏257	2247.750	129.156	67.954	10.317	246.667	26.07	2.601	10.048	10.306	9.979	10.345	10.23	10.533	10.381	13.022	11.424		chang4+5
苏257	2247.875	122.227	67.943	10.017	242.999	24.517	2.587	10.235	10.031	10.286	10.017	9.932	10.224	10.108	13.981	12.441		chang4+5
苏257	2248.000	117.583	67.961	10.052	240.743	23.756	2.573	10.564	10.038	10.841	10.008	9.964	10.21	10.096	15.29	13.76		chang4+5
苏257	2248.125	115.222	68.035	10.392	240.539	24.891	2.565	10.946	10.289	11.575	10.282	10.297	10.446	10.298	16.545	14.962		chang4+5
苏257	2248.250	112.965	68.131	10.982	241.464	26.265	2.569	11.267	10.713	12.354	10.781	10.878	10.855	10.635	17.37	15.689		chang4+5
苏257	2248.375	109.142	68.165	11.714	242.336	26.634	2.576	11.531	11.201	13.144	11.405	11.602	11.32	10.999	17.744	15.961		chang4+5
苏257	2248.500	105.039	68.057	12.492	243.664	26.886	2.588	11.863	11.668	14.011	12.068	12.377	11.751	11.311	17.851	15.979		chang4+5
苏257	2248.625	103.161	67.79	13.3	248.515	27.415	2.588	12.413	12.123	15.006	12.761	13.184	12.153	11.592	17.292	15.718		chang4+5
